Feature\Product;0;1;2;
BerkeleyDb;X;X;X;
featureINCompressor;-;X;-;
Statistics;-;X;-;
_featureTransaction;-;X;-;
_featureChecksum;-;X;-;
featureDirectNIO;-;X;-;
_featureStatisticsLock;-;X;-;
FConcurrency;-;X;-;
featureChunkedNIO;-;X;-;
featureLatch;-;X;-;
featureStatisticsTransaction;-;X;-;
BTree;X;X;X;
featureStatisticsEnvCaching;-;X;-;
FLogging;-;X;-;
_featureDeleteDb;-;X;-;
featureTransaction;-;X;-;
_featureCheckLeaks;-;X;-;
featureStatisticsEnvINCompressor;-;X;-;
Evictor;-;X;-;
FPersistency;X;X;X;
featureStatisticsEnvFSync;-;X;-;
featureIO;-;-;X;
_dummyFeatureLocking;-;X;-;
featureStatisticsBase;-;X;-;
featureCriticalEviction;-;X;-;
_featureEnvironmentLock;-;X;-;
featureStatisticsEnvCleaner;-;X;-;
FBtree;X;X;X;
featureStatisticsEnvBase;-;X;-;
featureLoggingBase;-;X;-;
featureLoggingFiner;-;X;-;
FPersistencyFeatures;-;X;-;
featureStatisticsPreload;-;X;-;
_featureStatisticsPreload;-;X;-;
IO;-;-;X;
_featureFileHandleCache;-;X;-;
featureStatisticsEnvCheckpointer;-;X;-;
featureLoggingDbLog;-;X;-;
featureStatisticsEnvEvictor;-;X;-;
featureCustomizableCheckpointerBytes;-;X;-;
_featureStatisticsTransaction;-;X;-;
BASE;X;X;X;
_featureLatch;-;X;-;
featureSynchronizedIO;-;-;X;
FIOFeature;X;X;X;
featureLoggingFinest;-;X;-;
featureLoggingFile;-;X;-;
_featureStatisticsDatabase;-;X;-;
NotChunked;X;-;-;
_featureHandleFullDiscError;-;X;-;
featureHandleFullDiscError;-;X;-;
FDbOperation;-;X;-;
FEvictor;-;X;-;
featureLoggingConsole;-;X;-;
featureLoggingConfig;-;X;-;
featureCheckLeaks;-;X;-;
Logging;-;X;-;
featureStatisticsDatabase;-;X;-;
featureStatisticsLock;-;X;-;
_featureFSync;-;X;-;
dummyFeatureLocking;-;X;-;
featureLoggingSevere;-;X;-;
featureCheckpointerDaemon;-;X;-;
featureCustomizableCheckpointerTime;-;X;-;
FStatistics;-;X;-;
featureChecksum;-;X;-;
featureEvictorDaemon;-;X;-;
featureEvictor;-;X;-;
featureEnvironmentLock;-;X;-;
featureFSync;-;X;-;
Checkpointer;-;X;-;
featureLoggingInfo;-;X;-;
NIO;X;X;-;
BerkeleyDB;X;X;X;
Chunked;-;X;-;
featureDeleteDb;-;X;-;
Persistency;X;X;X;
featureStatisticsEnvLog;-;X;-;
featureVerifier;-;X;-;
_featureTruncateDb;-;X;-;
EnvStats;-;X;-;
_featureStatisticsSequence;-;X;-;
FStatisticsFeatures;-;X;-;
featureLookAheadCache;-;X;-;
featureLoggingFine;-;X;-;
featureTreeVisitor;-;X;-;
Cleaner;-;X;-;
featureStatisticsSequence;-;X;-;
FNIOType;X;X;-;
featureTruncateDb;-;X;-;
featureNIO;X;-;-;
featureMemoryBudget;-;X;-;
featureCleanerDaemon;-;X;-;
featureFileHandleCache;-;X;-;
