Feature\Product;Java;Java EE;C/C++;C/C++ Linux;RCP/RAP;Modeling;Reporting;Parallel;Scout;Testers;Javascript;Classic
EclipseIDE;X;X;X;X;X;X;X;X;X;X;X;X
RCP_Platform;X;X;X;X;X;X;X;X;X;X;X;X
CVS;X;X;X;X;X;X;X;X;X;X;X;X
EGit;-;-;X;X;X;X;-;-;-;-;-;-
EMF;X;X;-;-;-;X;X;-;-;-;-;-
GEF;X;X;-;-;-;X;X;-;-;-;-;-
JDT;X;X;-;-;X;X;X;-;X;-;-;X
Mylyn;X;X;X;X;X;X;X;X;X;X;X;-
WebTools;-;X;-;-;-;-;X;-;-;-;X;-
LinuxTools;-;-;X;X;-;-;-;X;-;-;-;-
JavaEETools;-;X;-;-;-;-;X;-;-;-;-;-
XMLTools;X;X;-;-;X;-;X;X;-;-;-;-
RSE;-;X;X;X;-;-;X;X;-;-;-;-
EclipseLink;-;X;-;-;-;-;X;-;-;X;-;-
PDE;-;X;-;-;X;X;X;-;X;-;-;X
Datatools;-;X;-;-;-;-;X;-;-;-;-;-
CDT;-;-;X;X;-;-;-;X;-;-;-;-
BIRT;-;-;-;-;-;-;X;-;-;-;-;-
GMF;-;-;-;-;-;X;-;-;-;-;-;-
PTP;-;-;-;-;-;-;-;X;-;-;-;-
MDT;-;-;-;-;-;X;-;-;-;-;-;-
Scout;-;-;-;-;-;-;-;-;X;-;-;-
Jubula;-;-;-;-;-;-;-;-;-;X;-;-
RAP;-;-;-;-;X;-;-;-;-;-;-;-
WindowBuilder;X;-;-;-;-;-;-;-;-;-;-;-
Maven;X;-;-;-;-;-;-;-;-;-;-;-
