Feature\Product;0;1;
VioletDef;X;X;
SequenceDiagram;-;X;
StateTransitionEdge;-;X;
ClassInterfaceEdge;-;X;
InitialStateNode;-;X;
ExtensionFilter;-;X;
SequenceD;-;X;
DiagramSupport;-;X;
ObjectFieldNode;-;X;
SelectNext;-;X;
NewFile;-;X;
Window;-;X;
CloseWindow;-;X;
ClipDrawingArea;-;X;
SetTitle;-;X;
ExtendRelationshipEdge;-;X;
EditProperties;-;X;
LookAndFeel;-;X;
StateDiagram;-;X;
ObjectD;-;X;
ClassAssociationEdge;-;X;
InterfaceNode;-;X;
UseCaseAssociationEdge;-;X;
ObjectNoteEdge;-;X;
MenuResources;-;X;
RecentFile;-;X;
ObjectDiagram;-;X;
ObjectNode;-;X;
StateD;-;X;
StateNode;-;X;
VioletFilter;-;X;
NextWindow;-;X;
SmallerGrid;-;X;
HideGrid;-;X;
SequenceParameterNode;-;X;
WindowMenu;-;X;
UseCaseNoteEdge;-;X;
ZoomOut;-;X;
GraphUtility;-;X;
ClassDependencyEdge;-;X;
EditMenu;-;X;
SequenceCallEdge;-;X;
SaveAs;-;X;
ImageFilter;-;X;
License;-;X;
base;X;X;
Additional;-;X;
UseCaseDiagram;-;X;
StateNoteEdge;-;X;
Exit;-;X;
StateNoteNode;-;X;
ClassAggregationEdge;-;X;
GrowDrawingArea;-;X;
FileMenu;-;X;
InternalFrame;-;X;
UseCaseD;-;X;
Actor;-;X;
FinalStateNode;-;X;
VersionChecker;-;X;
UseCaseNode;-;X;
About;-;X;
ClassDiagram;-;X;
SequenceCallNode;-;X;
ObjectNoteNode;-;X;
ObjectReferenceEdge;-;X;
RestoreWindow;-;X;
CommandLine;-;X;
SequenceNoteEdge;-;X;
Print;-;X;
ZoomIn;-;X;
Read;-;X;
MaximizeWindow;-;X;
SequenceNoteNode;-;X;
SequenceReturnEdge;-;X;
ClassNoteNode;-;X;
IncludeRelationshipEdge;-;X;
ClassNoteEdge;-;X;
View;-;X;
Help;-;X;
HelpMenu;-;X;
SaveFile;-;X;
Preferences;-;X;
ExportImage;-;X;
OpenFile;-;X;
DeleteItem;-;X;
PackageNode;-;X;
ClassD;-;X;
PreviousWindow;-;X;
ClassCompositionEdge;-;X;
Edit;-;X;
SelectPrevious;-;X;
File;-;X;
ClassInheritanceEdge;-;X;
ViewMenu;-;X;
UseCaseNoteNode;-;X;
ClassNode;-;X;
Violet;X;X;
UseCaseGeneralizationEdge;-;X;
ObjectAssociationEdge;-;X;
LargerGrid;-;X;
FileUtility;-;X;
