Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
JavaEETools;-;-;-;-;X;X;X;-;-;X;X;X;-;-;-;-;-;-;-;-;
MDT;-;-;-;-;X;-;X;X;-;X;-;-;X;X;-;-;-;-;-;-;
WindowBuilder;-;-;-;-;X;X;X;X;-;-;-;-;X;X;-;-;-;-;-;-;
EclipseIDE;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Mylyn;-;-;-;-;X;X;-;-;-;X;X;X;X;-;-;-;-;-;X;-;
CDT;-;-;-;-;-;X;X;X;X;X;-;-;-;-;-;-;-;-;-;-;
BIRT;-;-;-;-;-;-;-;X;X;-;X;-;-;X;X;X;-;-;-;-;
EGit;-;-;-;-;X;-;X;X;X;X;-;X;-;-;-;-;-;-;-;-;
JDT;-;X;-;-;-;X;X;X;X;-;X;X;X;X;X;X;-;-;-;-;
Maven;-;-;-;-;-;-;-;X;X;-;X;X;X;-;-;X;-;-;-;-;
EclipseLink;-;-;-;-;X;X;X;-;-;-;X;-;-;-;X;-;-;-;-;-;
GMF;-;-;-;-;X;-;-;X;X;-;-;-;X;X;-;X;-;-;-;-;
Jubula;-;-;-;X;-;X;-;-;X;-;X;-;X;-;-;-;-;-;-;-;
EMF;-;-;-;-;X;X;-;X;X;X;X;X;X;X;X;X;-;-;-;-;
PTP;-;-;-;-;X;-;-;X;X;X;X;-;-;-;-;-;X;X;-;-;
LinuxTools;-;-;-;-;X;X;X;-;X;X;-;X;-;-;-;-;-;-;-;-;
PDE;-;X;-;-;-;X;X;X;X;-;X;X;-;X;X;X;-;-;-;-;
RSE;-;-;-;-;X;X;X;X;X;-;-;-;-;-;-;-;-;-;-;-;
RAP;-;-;-;-;X;X;X;X;-;-;-;X;-;-;-;-;-;-;-;-;
GEF;-;-;-;-;X;X;-;X;X;-;X;-;X;X;X;X;-;-;-;X;
CVS;-;-;X;-;X;X;-;-;-;-;X;-;-;-;-;-;-;-;-;-;
Scout;-;-;-;-;-;X;X;X;-;-;X;X;-;-;-;-;-;-;-;-;
RCP_Platform;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
XMLTools;-;-;-;-;-;X;X;X;-;-;-;X;-;-;X;X;X;-;X;-;
WebTools;-;-;-;-;-;X;-;X;X;X;X;X;-;-;-;-;-;X;-;-;
Datatools;-;-;-;-;X;X;-;X;X;X;X;-;-;X;X;X;-;-;-;-;
